0, 2
1, 3
2, 4
3, 5
4, 6
5, 7
6, 8
7, 9
8, 10
9, 11
10, 12
11, 13
12, 14
13, 15
14, 17
15, 19
16, 21
17, 23
18, 25
19, 27
20, 29
21, 32
22, 35
23, 38
24, 41
25, 44
26, 48
27, 52
28, 56
29, 60
30, 65
31, 70
32, 75
33, 81
34, 87
35, 94
36, 101
37, 109
38, 117
39, 126
40, 135
41, 145
42, 156
43, 167
44, 179
45, 192
46, 206
47, 221
48, 237
49, 254
50, 272
51, 291
52, 312
53, 334
54, 358
55, 383
56, 410
57, 439
58, 470
59, 503
60, 539
61, 577
62, 618
63, 662
64, 709
65, 759
66, 812
67, 869
68, 930
69, 995
70, 1065
71, 1140
72, 1220
73, 1306
74, 1398
75, 1496
76, 1601
77, 1713
78, 1833
79, 1961
80, 2098
81, 2245
82, 2402
83, 2570
84, 2750
85, 2942
86, 3148
87, 3368
88, 3603
89, 3855
90, 4124
91, 4412
92, 4720
93, 5050
94, 5403
95, 5780
96, 6183
97, 6614
98, 7076
99, 7570
100, 8098
101, 8663
102, 9267
103, 9913
104, 10604
105, 11344
106, 12135
107, 12981
108, 13886
109, 14854
110, 15890
111, 16998
112, 18183
113, 19451
114, 20807
115, 22258
116, 23810
117, 25470
118, 27246
119, 29145
120, 31177
121, 33350
122, 35675
123, 38162
124, 40822
125, 43667
126, 46710
127, 49965
128, 53447
129, 57172
130, 61156
131, 65418
132, 69976
133, 74852
134, 80067
135, 85645
136, 91612
137, 97994
138, 104821
139, 112123
140, 119933
141, 128286
142, 137221
143, 146777
144, 156998
145, 167930
146, 179622
147, 192127
148, 205502
149, 219806
150, 235104
151, 251465
152, 268963
153, 287676
154, 307688
155, 329089
156, 351975
157, 376449
158, 402620
159, 430605
160, 460529
161, 492525
162, 526736
163, 563315
164, 602424
165, 644236
166, 688937
167, 736724
168, 787808
169, 842414
170, 900782
171, 963167
172, 1029843
173, 1101100
174, 1177248
175, 1258618
176, 1345561
177, 1438451
178, 1537687
179, 1643692
180, 1756918
181, 1877844
182, 2006980
183, 2144866
184, 2292078
185, 2449225
186, 2616953
187, 2795948
188, 2986936
189, 3190685
190, 3408007
191, 3639761
192, 3886853
193, 4150239
194, 4430927
195, 4729976
196, 5048501
197, 5387672
198, 5748716
199, 6132916
